sequence,timestamp,lidar_min,lidar_max,lidar_mean,lidar_std,pose_min,pose_max,pose_mean,pose_std,imu_min,imu_max,imu_mean,imu_std,target_min,target_max,target_mean,target_std
65,1732072351384,-1.6803832054138184,1.2234452962875366,-0.04299544915556908,0.3978816568851471,-0.5560362339019775,0.4437011778354645,-0.017065783962607384,0.5044358968734741,-1.0457278490066528,0.7933797240257263,0.08012114465236664,0.9865355491638184,-0.34162500500679016,0.13199834525585175,-0.10481332987546921,0.334902286529541
66,1732072351439,-1.632308840751648,1.1974679231643677,-0.15862102806568146,0.5089882016181946,-0.6848154664039612,0.5381911993026733,-0.01914670132100582,0.6186582446098328,-0.7288729548454285,0.7011426687240601,0.16488197445869446,0.7791584134101868,-0.3661244213581085,0.16224613785743713,-0.1019391417503357,0.3736144006252289
67,1732072351500,-1.5892431735992432,1.1785187721252441,-0.1429649144411087,0.4792042374610901,-0.837510347366333,0.6548067331314087,-0.024212300777435303,0.7551660537719727,-0.8657399415969849,0.773967444896698,0.12702670693397522,0.8728440403938293,-0.3400195240974426,0.19881854951381683,-0.0706004872918129,0.3810160458087921
68,1732072351543,-1.5482429265975952,1.122062087059021,-0.24392442405223846,0.5838111042976379,-0.586934506893158,0.4680747985839844,-0.018282156437635422,0.5322974324226379,-0.971815288066864,0.8970651626586914,0.11977237462997437,0.9732751846313477,-0.3055654764175415,0.14057743549346924,-0.08249402046203613,0.3154706656932831
69,1732072351583,-1.5118367671966553,0.9574275612831116,-0.10278534144163132,0.3604373037815094,-0.5697662830352783,0.4547905921936035,-0.026826491579413414,0.5150238275527954,-1.145298719406128,0.922141432762146,0.04539132118225098,1.068876028060913,-0.2564631998538971,0.13679277896881104,-0.05983521044254303,0.2780739665031433
70,1732072351623,-1.4764580726623535,0.9444007873535156,-0.14649510383605957,0.368993878364563,-0.176108717918396,0.21100881695747375,0.030211132019758224,0.19481664896011353,-0.9545902013778687,1.1695857048034668,0.17139291763305664,1.067838191986084,-0.20120424032211304,0.04793459549546242,-0.07663482427597046,0.17616775631904602
71,1732072351665,-0.7952528595924377,1.0141725540161133,-0.013202128000557423,0.10697125643491745,-0.1509925127029419,0.20270474255084991,-0.0007742693414911628,0.18276479840278625,-0.6406581401824951,0.5502610802650452,-0.011779090389609337,0.5982664227485657,-0.04087648540735245,0.04275177791714668,0.0009376462548971176,0.059134114533662796
72,1732072351714,-1.4594500064849854,0.919866681098938,-0.15277263522148132,0.39410364627838135,-0.8593039512634277,0.7687850594520569,0.011796116828918457,0.8200210332870483,-1.436718225479126,1.1795555353164673,0.006180246826261282,1.3287980556488037,-0.2107418179512024,0.2125684916973114,0.0009133368730545044,0.2993255853652954
73,1732072351764,-5.958480358123779,1.4022014141082764,-0.3416825234889984,0.7931352853775024,-1.1484699249267578,1.0032373666763306,-0.027966856956481934,1.0786296129226685,-1.0362417697906494,0.9838860034942627,0.1556367129087448,1.0580164194107056,-0.3806702792644501,0.2843945324420929,-0.04813787341117859,0.4702718257904053
74,1732072351810,-4.866786479949951,1.9685678482055664,-0.37031903862953186,0.9861863851547241,-1.4254951477050781,1.2592614889144897,0.0020213923417031765,1.3504537343978882,-0.09648656845092773,0.8372228741645813,0.4057728052139282,0.4708649516105652,-0.5994561314582825,0.35811740159988403,-0.12066936492919922,0.6771067380905151
75,1732072351860,-4.214559078216553,1.9275766611099243,-0.3802036941051483,0.9838384985923767,-1.4681512117385864,1.302681803703308,-0.055317603051662445,1.3862301111221313,0.025118717923760414,0.8201993703842163,0.3961237072944641,0.4001883268356323,-0.5916168093681335,0.37405937910079956,-0.10877871513366699,0.6828361749649048
76,1732072351916,-3.7707316875457764,8.595837593078613,-0.4530724585056305,1.183529019355774,-1.6817443370819092,1.4661399126052856,-0.06488709151744843,1.575696349143982,-0.784965991973877,1.2843247652053833,0.4601939618587494,1.0970141887664795,-0.6424859166145325,0.4336593747138977,-0.10441327095031738,0.7609496116638184
77,1732072351961,-3.4418118000030518,6.100524425506592,-0.4057067930698395,1.1218658685684204,-1.6046215295791626,1.4136440753936768,-0.057703178375959396,1.5105513334274292,-0.40115007758140564,0.970994234085083,0.45170313119888306,0.7444076538085938,-0.7011131644248962,0.421207457780838,-0.1399528533220291,0.7936005592346191
78,1732072352015,-3.1861581802368164,4.987185001373291,-0.3817059099674225,1.0730319023132324,-1.6053835153579712,1.4147030115127563,-0.05495290085673332,1.5116627216339111,0.10126334428787231,0.9545167684555054,0.4299912452697754,0.4590892195701599,-0.6930381059646606,0.4276968836784363,-0.13267061114311218,0.7924792766571045
79,1732072352069,-2.9808716773986816,4.321689605712891,-0.4279409348964691,1.1220139265060425,-1.6534236669540405,1.4551594257354736,-0.06204072758555412,1.5556186437606812,-0.7432867288589478,1.1298025846481323,0.4478585422039032,1.035171627998352,-0.6994579434394836,0.44725608825683594,-0.12610092759132385,0.8108492493629456
80,1732072352113,-2.808687210083008,1.6257706880569458,-0.3378041386604309,0.8654651045799255,-1.3104307651519775,1.2180988788604736,-0.0186082124710083,1.2651655673980713,-0.5556461215019226,0.7628864645957947,0.29467085003852844,0.7376538515090942,-0.5571960806846619,0.36302703619003296,-0.09708452224731445,0.6506959795951843
81,1732072352167,-2.66430401802063,1.5393720865249634,-0.31037408113479614,0.8147478103637695,-1.2580115795135498,1.182244896888733,-0.004677176475524902,1.2214829921722412,-0.20748169720172882,0.7406664490699768,0.26233890652656555,0.474131315946579,-0.5412955284118652,0.3526487350463867,-0.09432339668273926,0.632114052772522
82,1732072352215,-2.5407543182373047,1.5152308940887451,-0.3581258952617645,0.8645621538162231,-1.3814557790756226,1.279433250427246,-0.029296359047293663,1.330976128578186,-0.33652496337890625,0.6821942329406738,0.30945107340812683,0.5616398453712463,-0.5087754130363464,0.38980045914649963,-0.0594874769449234,0.6353891491889954
83,1732072352263,-2.4312102794647217,1.1642643213272095,-0.25810250639915466,0.6430541276931763,-0.8955440521240234,0.9028147459030151,0.02627187967300415,0.9000338315963745,-0.638120174407959,0.7842764854431152,0.23249857127666473,0.7629204988479614,-0.40135103464126587,0.2598629295825958,-0.07074405252933502,0.4675489068031311
84,1732072352315,-2.3353710174560547,1.0703915357589722,-0.19876419007778168,0.5582544803619385,-0.875822901725769,0.8886851668357849,0.03406073898077011,0.8835510015487671,-0.3417336344718933,0.5401052236557007,0.19083061814308167,0.4686216413974762,-0.39342227578163147,0.2556885778903961,-0.06886684894561768,0.4589906930923462
85,1732072352364,-2.2504184246063232,1.069130778312683,-0.1787911206483841,0.5421259999275208,-0.7149482369422913,0.7637297511100769,0.04672762006521225,0.7403505444526672,-0.5087952613830566,0.5829906463623047,0.20137564837932587,0.6155979633331299,-0.4155280292034149,0.2125134915113449,-0.101507268846035,0.44409239292144775
86,1732072352411,-1.150437593460083,1.6011244058609009,-0.06256302446126938,0.2753881514072418,-0.1280805766582489,0.32879117131233215,0.08068259060382843,0.23096318542957306,-1.0738896131515503,0.8930478692054749,0.049600403755903244,1.0129307508468628,-0.22068078815937042,0.05384243279695511,-0.08341917395591736,0.1941172331571579
87,1732072352472,-1.1357251405715942,1.036968469619751,-0.006513029336929321,0.23820897936820984,-0.13220030069351196,0.3343358635902405,0.0719103068113327,0.23867231607437134,-0.4147554636001587,0.46313047409057617,0.12167522311210632,0.4703004062175751,-0.21217483282089233,0.05518071725964546,-0.07849705964326859,0.18904893100261688
